Date,Open,High,Low,Close_,AdjClose__
"Nov 07, 2019",12.59,12.89,12.26,12.73,12.73
"Nov 06, 2019",13.18,13.39,12.60,12.62,12.62
"Nov 05, 2019",12.85,13.28,12.25,13.10,13.10
"Nov 04, 2019",12.68,13.13,12.44,12.83,12.83
"Nov 01, 2019",12.50,12.60,12.26,12.30,12.30
"Oct 31, 2019",13.51,13.95,13.18,13.22,13.22
"Oct 30, 2019",13.08,13.37,12.27,12.33,12.33
"Oct 29, 2019",13.16,13.52,13.07,13.20,13.20
"Oct 28, 2019",13.01,13.14,12.66,13.11,13.11
"Oct 25, 2019",13.53,13.79,12.62,12.65,12.65
"Oct 24, 2019",13.98,14.34,13.40,13.71,13.71
"Oct 23, 2019",14.83,15.12,14.01,14.01,14.01
"Oct 22, 2019",13.99,14.61,13.70,14.46,14.46
"Oct 21, 2019",14.24,14.63,14.00,14.00,14.00
"Oct 18, 2019",14.20,15.16,13.78,14.25,14.25
"Oct 17, 2019",13.79,14.18,13.31,13.79,13.79
"Oct 16, 2019",13.94,14.26,13.60,13.68,13.68
"Oct 15, 2019",13.94,14.43,13.39,13.54,13.54
"Oct 14, 2019",15.66,16.50,14.51,14.57,14.57
"Oct 11, 2019",17.35,17.44,15.11,15.58,15.58
"Oct 10, 2019",19.28,19.80,17.56,17.57,17.57
"Oct 09, 2019",19.94,20.00,17.77,18.64,18.64
"Oct 08, 2019",17.61,20.38,17.42,20.28,20.28
"Oct 07, 2019",18.27,18.52,16.44,17.86,17.86
"Oct 04, 2019",19.42,19.97,16.97,17.04,17.04
"Oct 03, 2019",20.11,21.44,19.03,19.12,19.12
"Oct 02, 2019",18.75,21.46,18.75,20.56,20.56
"Oct 01, 2019",16.02,18.62,15.79,18.56,18.56
"Sep 30, 2019",17.23,17.35,16.20,16.24,16.24
"Sep 27, 2019",15.77,18.69,15.15,17.22,17.22
"Sep 26, 2019",16.23,17.09,15.35,16.07,16.07
"Sep 25, 2019",17.05,18.45,15.69,15.96,15.96
"Sep 24, 2019",14.77,17.62,14.33,17.05,17.05
"Sep 23, 2019",15.35,16.00,14.71,14.91,14.91
"Sep 20, 2019",13.94,15.84,13.35,15.32,15.32
"Sep 19, 2019",14.66,14.66,13.31,14.05,14.05
"Sep 18, 2019",14.61,15.80,13.80,13.95,13.95
"Sep 17, 2019",14.92,15.03,14.40,14.44,14.44
"Sep 16, 2019",14.89,15.29,14.50,14.67,14.67
"Sep 13, 2019",14.16,14.31,13.51,13.74,13.74
"Sep 12, 2019",14.69,14.94,13.85,14.22,14.22
"Sep 11, 2019",15.33,15.52,14.55,14.61,14.61
"Sep 10, 2019",15.53,16.52,15.11,15.20,15.20
"Sep 09, 2019",15.26,16.13,14.95,15.27,15.27
"Sep 06, 2019",15.92,16.06,14.91,15.00,15.00
"Sep 05, 2019",16.92,17.05,15.45,16.27,16.27
"Sep 04, 2019",18.23,18.83,17.26,17.33,17.33
"Sep 03, 2019",20.96,21.15,19.41,19.66,19.66
"Aug 30, 2019",17.94,19.18,17.09,18.98,18.98
"Aug 29, 2019",19.02,19.20,17.60,17.88,17.88
"Aug 28, 2019",20.55,21.64,19.10,19.35,19.35
"Aug 27, 2019",20.18,21.04,18.49,20.31,20.31
"Aug 26, 2019",20.34,21.33,19.06,19.32,19.32
"Aug 23, 2019",16.15,21.07,16.04,19.87,19.87
"Aug 22, 2019",16.12,17.68,15.63,16.68,16.68
"Aug 21, 2019",17.01,17.04,15.51,15.80,15.80
"Aug 20, 2019",16.78,17.70,16.45,17.50,17.50
"Aug 19, 2019",17.93,18.22,16.52,16.88,16.88
"Aug 16, 2019",20.48,20.50,18.41,18.47,18.47
"Aug 15, 2019",21.58,24.10,20.78,21.18,21.18
"Aug 14, 2019",17.81,22.71,17.75,22.10,22.10
"Aug 13, 2019",21.28,21.64,17.52,17.52,17.52
"Aug 12, 2019",17.87,21.26,17.77,21.09,21.09
"Aug 09, 2019",18.14,19.44,17.31,17.97,17.97
"Aug 08, 2019",19.36,19.89,16.82,16.91,16.91
"Aug 07, 2019",20.70,23.67,18.94,19.49,19.49
"Aug 06, 2019",22.29,22.87,19.77,20.17,20.17
"Aug 05, 2019",19.96,24.81,19.91,24.59,24.59
"Aug 02, 2019",17.69,20.11,17.04,17.61,17.61
"Aug 01, 2019",15.41,19.46,13.73,17.87,17.87
"Jul 31, 2019",13.83,16.55,13.46,16.12,16.12
"Jul 30, 2019",12.87,14.18,12.87,13.94,13.94
"Jul 29, 2019",12.15,13.17,12.15,12.83,12.83
"Jul 26, 2019",12.58,12.72,12.01,12.16,12.16
"Jul 25, 2019",12.24,13.54,11.69,12.74,12.74
"Jul 24, 2019",12.80,13.10,11.98,12.07,12.07
"Jul 23, 2019",13.42,13.52,12.55,12.61,12.61
"Jul 22, 2019",14.55,14.70,13.42,13.53,13.53
"Jul 19, 2019",13.31,14.45,13.09,14.45,14.45
"Jul 18, 2019",14.45,14.50,13.19,13.53,13.53
"Jul 17, 2019",12.62,13.97,12.24,13.97,13.97
"Jul 16, 2019",12.61,13.14,12.28,12.86,12.86
"Jul 15, 2019",12.58,13.02,12.49,12.68,12.68
"Jul 12, 2019",12.76,12.82,12.28,12.39,12.39
"Jul 11, 2019",13.01,13.33,12.39,12.93,12.93
"Jul 10, 2019",14.38,14.69,12.98,13.03,13.03
"Jul 09, 2019",14.47,14.71,13.99,14.09,14.09
"Jul 08, 2019",13.73,14.44,13.64,13.96,13.96
"Jul 05, 2019",13.00,14.47,12.04,13.28,13.28
"Jul 03, 2019",13.18,13.19,12.56,12.57,12.57
"Jul 02, 2019",14.16,14.30,12.90,12.93,12.93
"Jul 01, 2019",13.85,14.64,13.80,14.06,14.06
"Jun 28, 2019",15.70,16.13,15.08,15.08,15.08
"Jun 27, 2019",15.66,16.40,15.66,15.82,15.82
"Jun 26, 2019",16.10,16.60,15.47,16.21,16.21
"Jun 25, 2019",15.43,16.68,15.10,16.28,16.28
"Jun 24, 2019",15.46,15.56,15.23,15.26,15.26
"Jun 21, 2019",14.74,15.48,14.42,15.40,15.40
"Jun 20, 2019",14.04,16.03,13.19,14.75,14.75
"Jun 19, 2019",15.05,15.71,14.15,14.33,14.33
"Jun 18, 2019",14.89,15.54,14.62,15.15,15.15
"Jun 17, 2019",15.65,15.76,15.24,15.35,15.35
"Jun 14, 2019",16.00,16.40,15.21,15.28,15.28
"Jun 13, 2019",16.16,16.21,15.61,15.82,15.82
"Jun 12, 2019",16.26,16.43,15.78,15.91,15.91
"Jun 11, 2019",15.84,16.70,15.50,15.99,15.99
"Jun 10, 2019",16.30,16.47,15.84,15.94,15.94
"Jun 07, 2019",15.65,16.44,15.33,16.30,16.30
"Jun 06, 2019",16.25,16.54,15.36,15.93,15.93
"Jun 05, 2019",17.06,17.49,16.04,16.09,16.09
"Jun 04, 2019",18.74,18.74,16.97,16.97,16.97
"Jun 03, 2019",19.41,19.75,18.16,18.86,18.86
"May 31, 2019",19.05,19.72,18.01,18.71,18.71
"May 30, 2019",17.47,18.11,16.72,17.30,17.30
"May 29, 2019",18.55,19.04,17.62,17.90,17.90
"May 28, 2019",16.55,17.70,15.90,17.50,17.50
"May 24, 2019",16.34,16.52,15.52,15.85,15.85
"May 23, 2019",15.93,18.05,15.28,16.92,16.92
"May 22, 2019",15.06,15.44,14.42,14.75,14.75
"May 21, 2019",15.86,16.22,14.79,14.95,14.95
"May 20, 2019",15.88,17.63,15.46,16.31,16.31
"May 17, 2019",15.89,16.81,14.86,15.96,15.96
"May 16, 2019",16.69,17.13,15.16,15.29,15.29
"May 15, 2019",17.57,19.15,16.41,16.44,16.44
"May 14, 2019",19.40,19.65,17.45,18.06,18.06
"May 13, 2019",18.62,21.32,18.35,20.55,20.55
"May 10, 2019",18.79,20.19,15.57,16.04,16.04
"May 09, 2019",21.40,23.38,18.87,19.10,19.10
"May 08, 2019",18.95,21.74,18.29,19.40,19.40
"May 07, 2019",15.90,21.84,15.80,19.32,19.32
"May 06, 2019",12.89,18.80,12.89,15.44,15.44
"May 03, 2019",14.11,14.15,12.80,12.87,12.87
"May 02, 2019",14.35,15.92,13.80,14.42,14.42
"May 01, 2019",12.86,14.83,12.74,14.80,14.80
"Apr 30, 2019",13.11,14.05,12.88,13.12,13.12
"Apr 29, 2019",13.04,13.27,12.65,13.11,13.11
"Apr 26, 2019",13.44,13.62,12.49,12.73,12.73
"Apr 25, 2019",13.29,14.30,12.81,13.25,13.25
"Apr 24, 2019",12.53,13.23,12.26,13.14,13.14
"Apr 23, 2019",12.66,12.69,12.08,12.28,12.28
"Apr 22, 2019",13.21,13.36,12.38,12.42,12.42
"Apr 18, 2019",12.80,13.12,12.02,12.09,12.09
"Apr 17, 2019",12.12,13.02,11.03,12.60,12.60
"Apr 16, 2019",12.26,12.47,11.85,12.18,12.18
"Apr 15, 2019",12.46,13.14,12.24,12.32,12.32
"Apr 12, 2019",12.96,12.96,11.95,12.01,12.01
"Apr 11, 2019",13.37,13.58,12.91,13.02,13.02
"Apr 10, 2019",14.09,14.29,13.27,13.30,13.30
"Apr 09, 2019",13.46,14.39,13.31,14.28,14.28
"Apr 08, 2019",13.55,13.77,13.10,13.18,13.18
"Apr 05, 2019",13.46,13.47,12.17,12.82,12.82
"Apr 04, 2019",13.84,14.03,13.40,13.58,13.58
"Apr 03, 2019",13.06,14.27,12.85,13.74,13.74
"Apr 02, 2019",13.62,13.68,13.13,13.36,13.36
"Apr 01, 2019",13.90,14.01,13.32,13.40,13.40
"Mar 29, 2019",14.19,14.43,13.64,13.71,13.71
"Mar 28, 2019",15.38,15.62,14.41,14.43,14.43
"Mar 27, 2019",14.52,16.71,14.51,15.15,15.15
"Mar 26, 2019",16.22,16.30,14.67,14.68,14.68
"Mar 25, 2019",17.76,17.85,16.26,16.33,16.33
"Mar 22, 2019",13.77,17.52,13.62,16.48,16.48
"Mar 21, 2019",14.11,14.56,13.26,13.63,13.63
"Mar 20, 2019",13.54,14.30,13.05,13.91,13.91
"Mar 19, 2019",12.89,13.77,12.37,13.56,13.56
"Mar 18, 2019",13.13,13.80,13.00,13.10,13.10
"Mar 15, 2019",13.21,13.28,12.50,12.88,12.88
"Mar 14, 2019",13.35,13.84,13.16,13.50,13.50
"Mar 13, 2019",14.00,14.05,13.25,13.41,13.41
"Mar 12, 2019",13.97,14.70,13.61,13.77,13.77
"Mar 11, 2019",16.28,16.43,14.33,14.33,14.33
